% Sequential breakfast data
% S1: {banh_mi} -> {trung, sua} -> {nuoc_cam}
% S2: {sua} -> {banh_mi, bo} -> {nuoc_cam}
% S3: {banh_mi, trung} -> {sua} -> {bo}
% S4: {trung} -> {banh_mi} -> {sua} -> {nuoc_cam}
% S5: {banh_mi} -> {sua, bo}
@relation breakfast_sequences

@attribute sequenceID numeric
@attribute eventID numeric
@attribute item {banh_mi,trung,sua,bo,nuoc_cam}

@data
1,1,banh_mi
1,2,trung
1,2,sua
1,3,nuoc_cam
2,1,sua
2,2,banh_mi
2,2,bo
2,3,nuoc_cam
3,1,banh_mi
3,1,trung
3,2,sua
3,3,bo
4,1,trung
4,2,banh_mi
4,3,sua
4,4,nuoc_cam
5,1,banh_mi
5,2,sua
5,2,bo
